"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Jan 17 00:42:48 EET 2023","Tue Jan 17 00:42:48 EET 2023","0","Command line suite","Command line test","atqc.ajax.JavaScriptExecutionTest","atqc.ajax.JavaScriptExecutionTest","tesShowAlert","tesShowAlert",""
"unknown","Tue Jan 17 00:42:48 EET 2023","Tue Jan 17 00:42:48 EET 2023","0","Command line suite","Command line test","atqc.ajax.JavaScriptExecutionTest","atqc.ajax.JavaScriptExecutionTest","testGetBrowserConsoleLog","testGetBrowserConsoleLog",""
"passed","Tue Jan 17 00:43:30 EET 2023","Tue Jan 17 00:43:30 EET 2023","8","Command line suite","Command line test","atqc.junit_testng.OracleLoginTest","atqc.junit_testng.OracleLoginTest","testOpenHonePge","testOpenHonePge",""
"unknown","Tue Jan 17 00:42:48 EET 2023","Tue Jan 17 00:42:48 EET 2023","16","Command line suite","Command line test","atqc.selenuimGrid.ItClusterAcademyPageTitlesTest","atqc.selenuimGrid.ItClusterAcademyPageTitlesTest","testHomePageTitle","testHomePageTitle",""
"passed","Tue Jan 17 00:43:25 EET 2023","Tue Jan 17 00:43:25 EET 2023","16","Command line suite","Command line test","atqc.handlingExceptions.tests.TestDisplayOfElementsGooglePage","atqc.handlingExceptions.tests.TestDisplayOfElementsGooglePage","testGoogleAccountButtonHidden","testGoogleAccountButtonHidden",""
"unknown","Tue Jan 17 00:42:48 EET 2023","Tue Jan 17 00:42:48 EET 2023","0","Command line suite","Command line test","atqc.ajax.DriverWaitsTest","atqc.ajax.DriverWaitsTest","testImplicitWaitExample","testImplicitWaitExample",""
"passed","Tue Jan 17 00:43:12 EET 2023","Tue Jan 17 00:43:20 EET 2023","8336","Command line suite","Command line test","atqc.ajax.DriverWaitsTest","atqc.ajax.DriverWaitsTest","testClickableElement","testClickableElement",""
"unknown","Tue Jan 17 00:42:48 EET 2023","Tue Jan 17 00:42:48 EET 2023","0","Command line suite","Command line test","atqc.ajax.DriverWaitsTest","atqc.ajax.DriverWaitsTest","testThreadSleepExample","testThreadSleepExample",""
"passed","Tue Jan 17 00:43:34 EET 2023","Tue Jan 17 00:43:37 EET 2023","3367","Command line suite","Command line test","atqc.junit_testng.OracleLoginTest","atqc.junit_testng.OracleLoginTest","testLoginOnOracle","testLoginOnOracle",""
"passed","Tue Jan 17 00:43:04 EET 2023","Tue Jan 17 00:43:07 EET 2023","2945","Command line suite","Command line test","atqc.selenuimGrid.OracleLoginHeadlessModeTest","atqc.selenuimGrid.OracleLoginHeadlessModeTest","testLoginOnOracle","testLoginOnOracle",""
"broken","Tue Jan 17 00:33:11 EET 2023","Tue Jan 17 00:33:11 EET 2023","0","Default Suite","automation_heroes","atqc.ajax.DriverWaitsTest","atqc.ajax.DriverWaitsTest","beforeJUnitTestNGHomeWork","beforeJUnitTestNGHomeWork",""
"passed","Tue Jan 17 00:43:37 EET 2023","Tue Jan 17 00:43:37 EET 2023","367","Command line suite","Command line test","atqc.junit_testng.OracleLoginTest","atqc.junit_testng.OracleLoginTest","testUserNameIsShown","testUserNameIsShown",""
"unknown","Tue Jan 17 00:42:48 EET 2023","Tue Jan 17 00:42:48 EET 2023","0","Command line suite","Command line test","atqc.ajax.JavaScriptExecutionTest","atqc.ajax.JavaScriptExecutionTest","testMouseOverElement","testMouseOverElement",""
"broken","Tue Jan 17 00:33:11 EET 2023","Tue Jan 17 00:33:11 EET 2023","0","Default Suite","automation_heroes","atqc.ajax.DriverWaitsTest","atqc.ajax.DriverWaitsTest","afterTest","afterTest",""
"unknown","Tue Jan 17 00:42:48 EET 2023","Tue Jan 17 00:42:48 EET 2023","0","Command line suite","Command line test","atqc.ajax.JavaScriptExecutionTest","atqc.ajax.JavaScriptExecutionTest","testScrollToBottomOfPage","testScrollToBottomOfPage",""
"passed","Tue Jan 17 00:43:01 EET 2023","Tue Jan 17 00:43:01 EET 2023","8","Command line suite","Command line test","atqc.selenuimGrid.OracleLoginHeadlessModeTest","atqc.selenuimGrid.OracleLoginHeadlessModeTest","testOpenHonePge","testOpenHonePge",""
"failed","Tue Jan 17 00:43:25 EET 2023","Tue Jan 17 00:43:25 EET 2023","232","Command line suite","Command line test","atqc.ajax.JavaScriptExecutionTest","atqc.ajax.JavaScriptExecutionTest","testClickOnElement","testClickOnElement",""
"passed","Tue Jan 17 00:43:30 EET 2023","Tue Jan 17 00:43:34 EET 2023","3677","Command line suite","Command line test","atqc.junit_testng.OracleLoginTest","atqc.junit_testng.OracleLoginTest","testOpenLoginPage","testOpenLoginPage",""
"passed","Tue Jan 17 00:43:01 EET 2023","Tue Jan 17 00:43:04 EET 2023","3247","Command line suite","Command line test","atqc.selenuimGrid.OracleLoginHeadlessModeTest","atqc.selenuimGrid.OracleLoginHeadlessModeTest","testOpenLoginPage","testOpenLoginPage",""
"failed","Tue Jan 17 00:43:25 EET 2023","Tue Jan 17 00:43:25 EET 2023","31","Command line suite","Command line test","atqc.handlingExceptions.tests.TestDisplayOfElementsGooglePage","atqc.handlingExceptions.tests.TestDisplayOfElementsGooglePage","testLoginButtonShown","testLoginButtonShown",""
"passed","Tue Jan 17 00:42:57 EET 2023","Tue Jan 17 00:42:57 EET 2023","64","Command line suite","Command line test","atqc.locators.GoogleSearchResultsTest","atqc.locators.GoogleSearchResultsTest","testSearchValuePresentInEachResultTitle","testSearchValuePresentInEachResultTitle",""
"passed","Tue Jan 17 00:43:07 EET 2023","Tue Jan 17 00:43:07 EET 2023","224","Command line suite","Command line test","atqc.selenuimGrid.OracleLoginHeadlessModeTest","atqc.selenuimGrid.OracleLoginHeadlessModeTest","testUserNameIsShown","testUserNameIsShown",""
